fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2000,AAPL,5427,6803,4027,5733,335.677,300,786,1933,786,826,7983
2001,AAPL,5143,6021,4336,4026,350.922,317,-37,1518,-25,185,5363
2002,AAPL,5388,6298,4337,4021,358.959,316,65,1658,65,89,5742
2003,AAPL,5887,6815,4566,4387.2,366.727,304,68,2357,69,289,6207
2004,AAPL,7055,8050,5464,5870.5,391.444,0,276,2680,276,934,8279
2005,AAPL,10300,11551,8261,9722.3,835.019,0,1335,3484,1335,2535,13931
2006,AAPL,14509,17205,10110,13507.2,855.263,0,1989,6471,1989,2220,19315
2007,AAPL,21956,25347,15386,15555,872.329,0,3496,9299,3496,5470,24006
2008,AAPL,34690,39572,24490,20898,888.326,0,4834,14092,4834,9596,32479
2009,AAPL,31555,47501,23464,24999,899.806,0,8235,11506,8235,10159,42905
2010,AAPL,41678,75183,25620,38609,915.97,0,14013,20722,14013,18595,65225
2011,AAPL,44988,116371,25952,62609,929.277,0,25922,27970,25922,37529,108249
2012,AAPL,57653,176064,29129,84641,939.208,0,41733,38542,41733,50856,156508
2013,AAPL,73286,207000,40546,99849,899.213,16960,37037,43658,37037,53666,170910
2014,AAPL,68531,231839,25077,104312,5866.161,28987,39510,63448,39510,59713,182795
2015,AAPL,89378,290479,41601,129589,5578.753,55963,53394,80610,53394,81266,233715
2016,AAPL,106869,321686,67155,121576,5336.166,78927,45687,79006,45687,65824,215091
2017,AAPL,128645,375319,74181,131648,5126.201,103703,48351,100814,48351,63598,229234
2000,AMAT,8839.147,10545.73,4228.039,4340.214,812.462,584.747,2063.552,2759.711,2063.552,1651.815,9564.412
2001,AMAT,7782.174,9828.51,4841.392,3704.244,815.77,569.612,775.228,1532.816,507.829,1580.304,7343.248
2002,AMAT,8072.793,10224.765,4929.526,2618.125,1648.028,583.306,269.004,1501.456,269.004,492.138,5062.312
2003,AMAT,8370.773,10311.622,5493.206,2348.777,1677.4,561.714,-149.147,1640.877,-149.147,801.754,4477.291
2004,AMAT,10281.519,12093.445,6577.996,3956.27,1680.264,456.3,1351.303,2287.981,1351.303,1627.271,8013.053
2005,AMAT,9448.683,11269.157,5935.341,3605.516,1606.694,414.954,1209.9,1765.414,1209.9,1247.14,6991.823
2006,AMAT,6081.019,9480.837,1897.338,4604.799,1391.73,407.243,1516.663,2436.045,1516.663,1935.727,9167.014
2007,AMAT,6605.624,10654.075,2369.579,4908.016,1385.711,204.842,1710.196,2373.423,1710.196,2209.296,9734.856
2008,AMAT,6664.157,11006.318,2100.668,4364.925,1330.761,202.644,960.746,2945.552,960.746,1710.468,8129.24
2009,AMAT,5688.947,9574.243,2214.73,3291.599,1340.917,201.894,-305.327,1939.457,-305.327,332.665,5013.607
2010,AMAT,6765.315,10943.345,2584.582,5529.15,1327.998,205.529,937.866,2887.876,937.866,1722.853,9548.667
2011,AMAT,10355,13861,6243,5927,1306,1947,1926,2794,1926,2426,10517
2012,AMAT,5102,12102,1937,4934,1197,1946,109,2265,109,1851,8719
2013,AMAT,5642,12043,1891,4134,1204,1946,256,2443,256,623,7509
2014,AMAT,6967,13174,3162,4878,1221,1947,1072,2823,1072,1800,9072
