Ticker,Date,Price,Returns,Shares
ORCL,20120131,28.21,0.102144,5025837
ORCL,20120229,29.255,0.037044,4979000
ORCL,20120330,29.16,-0.003247,4975106
ORCL,20120430,29.4,0.010288,4975106
ORCL,20120531,26.47,-0.09966,4905000
ORCL,20120629,29.7,0.122025,4882506
ORCL,20120731,30.2,0.018855,4882506
ORCL,20120831,31.65,0.048013,4831000
ORCL,20120928,31.46,-0.006003,4819056
ORCL,20121031,31.08,-0.010172,4819056
ORCL,20121130,32.175,0.035232,4748000
ORCL,20121231,33.32,0.041181,4734297
ORCL,20130131,35.51,0.065726,4734297
ORCL,20130228,34.24,-0.035764,4719000
ORCL,20130328,32.33,-0.055783,4710658
ORCL,20130430,32.78,0.013919,4698310
ORCL,20130531,33.78,0.030506,4646000
ORCL,20130628,30.71,-0.090882,4646000
ORCL,20130731,32.35,0.05731,4630807
ORCL,20130830,31.86,-0.015147,4630807
ORCL,20130930,33.17,0.041117,4557459
ORCL,20131031,33.5,0.013567,4557459
ORCL,20131129,35.29,0.053433,4557459
ORCL,20131231,38.26,0.08416,4497409
ORCL,20140131,36.9,-0.03241,4497409
ORCL,20140228,39.11,0.059892,4497409
ORCL,20140331,40.91,0.046024,4458886
ORCL,20140430,40.88,0.0022,4458886
ORCL,20140530,42.02,0.027886,4458886
ORCL,20140630,40.53,-0.035459,4454889
ORCL,20140731,40.39,-0.000493,4454889
ORCL,20140829,41.53,0.028225,4454889
ORCL,20140930,38.28,-0.078257,4431304
ORCL,20141031,39.05,0.02325,4431304
ORCL,20141128,42.41,0.086044,4431304
ORCL,20141231,44.97,0.060363,4391367
ORCL,20150130,41.89,-0.065822,4391367
ORCL,20150227,43.82,0.046073,4391367
ORCL,20150331,43.15,-0.01529,4367070
ORCL,20150430,43.62,0.014368,4698310
ORCL,20150529,43.49,-0.00298,4367070
ORCL,20150630,40.3,-0.07335,4336077
ORCL,20150731,39.94,-0.005211,4336077
ORCL,20150831,37.09,-0.071357,4336077
ORCL,20150930,36.12,-0.026153,4264628
ORCL,20151030,38.84,0.079457,4264628
ORCL,20151130,38.97,0.003347,4264628
ORCL,20151231,36.53,-0.062612,4201220
ORCL,20160129,36.31,-0.001916,4201220
ORCL,20160229,36.78,0.012944,4201220
ORCL,20160331,40.91,0.112289,4149865
ORCL,20160429,39.86,-0.021999,4149865
ORCL,20160531,40.2,0.00853,4149865
ORCL,20160630,40.93,0.018159,4122730
ORCL,20160729,41.04,0.006352,4122730
ORCL,20160831,41.22,0.004386,4122730
ORCL,20160930,39.28,-0.047065,4105645
ORCL,20161031,38.42,-0.018075,4105645
ORCL,20161130,40.19,0.04607,4105645
ORCL,20161230,38.45,-0.043294,4102353
ORCL,20170131,40.11,0.047074,4102353
ORCL,20170228,42.59,0.06183,4102353
ORCL,20170331,44.61,0.047429,4114684
ORCL,20170428,44.96,0.012105,4114684
ORCL,20170531,45.39,0.009564,4114684
ORCL,20170630,50.14,0.104649,4136682
ORCL,20170731,49.93,-0.000399,4136682
